name,index,category,contents,status,time,on/off,URL,attachment,Google Drive,gen-time,edit-time,block-ID,post-block,[index] post-block,[index] pre-block,pre-block,Hash tag
@2026년 1월 29일 회의 리마인더,,리마인더,,cowork,2026년 1월 29일 오후 9:00 (GMT+9) → 오후 11:00,No,,,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,31,,,,,
@2026년 2월 9일 회의,회의록,메모,텍스트,cowork,2026년 2월 9일 오후 4:00 (GMT+9) → 오후 6:00,No,,,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,18,,,,,"CUSTOMER SERVICE, FINANCE"
[지원] 25학년도 학생창업기업발굴 및 지원금 신청 안내 (기한연장 : ~26.01.04.),2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,정보,스크랩,cowork,2025년 12월 16일,No,https://www.uos.ac.kr/korColumn/view.do?list_id=FA35&seq=894&sort=8&pageIndex=1&searchCnd=&searchWrd=&viewAuth=Y&lpageCount=10&menuid=2000005009005000000,Screenshot_2026-01-30_at_14.20.27.pdf,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,27,"1. 학생창업기업 신청서_ 활동지원금 신청서_ 개인정보활용동의서 (https://www.notion.so/41c5f50250418228906e81c9d65425d8?pvs=21), 2. 학생창업기업 활동지원금 안내문 (https://www.notion.so/e665f50250418363b4a7013315d5b191?pvs=21)","2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집",,,ADMINISTRATIVE WORK
2. 학생창업기업 활동지원금 안내문,2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,정보,문서,cowork,2025년 12월 16일,No,https://www.uos.ac.kr/korColumn/view.do?list_id=FA35&seq=894&sort=8&pageIndex=1&searchCnd=&searchWrd=&viewAuth=Y&lpageCount=10&menuid=2000005009005000000,2._%ED%95%99%EC%83%9D%EC%B0%BD%EC%97%85%EA%B8%B0%EC%97%85_%ED%99%9C%EB%8F%99%EC%A7%80%EC%9B%90%EA%B8%88_%EC%95%88%EB%82%B4%EB%AC%B8.hwp,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,26,,,2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,[지원] 25학년도 학생창업기업발굴 및 지원금 신청 안내 (기한연장 : ~26.01.04.) (https://www.notion.so/90a5f502504183b0ad42010618f19c6c?pvs=21),ADMINISTRATIVE WORK
유동환 하나은행 사업자통장,통장사본,정보,사진,cowork,,No,,%EC%9C%A0%EB%8F%99%ED%99%98_%ED%95%98%EB%82%98%EC%9D%80%ED%96%89_%EC%82%AC%EC%97%85%EC%9E%90%ED%86%B5%EC%9E%A5.jpg,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,16,,,,,ADMINISTRATIVE WORK
유동환 하나은행 개인통장,통장사본,정보,사진,cowork,,No,,%EC%9C%A0%EB%8F%99%ED%99%98_%ED%95%98%EB%82%98%EC%9D%80%ED%96%89_%EA%B0%9C%EC%9D%B8%ED%86%B5%EC%9E%A5.jpg,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,15,,,,,ADMINISTRATIVE WORK
유동환 창업장학금 신청 증빙서류,2023학년도 서울시립대학교 창업장학금,정보,스크랩,cowork,2026년 1월 27일,No,,%EC%9C%A0%EB%8F%99%ED%99%98_%EC%B0%BD%EC%97%85%EC%9E%A5%ED%95%99%EA%B8%88_%EC%8B%A0%EC%B2%AD_%EC%A6%9D%EB%B9%99%EC%84%9C%EB%A5%98.pdf,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,14,유동환 창업장학금 신청서 (https://www.notion.so/6eb5f502504182c1aac0017c29f7e7b5?pvs=21),2025학년도 서울시립대학교 창업장학금,"부가가치세 신고서,사업자등록증,2025학년도 서울시립대학교 창업장학금,2025학년도 서울시립대학교 창업장학금,2025학년도 서울시립대학교 창업장학금,2025학년도 서울시립대학교 창업장학금","빅블루요가 부가가치세 신고서 (@2026년 1월 27일) (https://www.notion.so/9045f502504182f08e3901bbe4d003d8?pvs=21), 빅블루요가 사업자등록증 (https://www.notion.so/d3e5f50250418207b9750187cdf4a60e?pvs=21), 유동환 휴학증명서 (@2026년 1월 27일) (https://www.notion.so/18b5f502504183edabf401fe972edd71?pvs=21), 유동환 재적증명서 (@2026년 1월 27일) (https://www.notion.so/65e5f50250418285bd968192240d8fc5?pvs=21), 유동환 성적증명서 (@2026년 1월 27일) (https://www.notion.so/a9a5f50250418327af12815856507822?pvs=21), 유동환 복학예정증명서 (@2026년 1월 27일) (https://www.notion.so/1f25f50250418258a92d81b55b4ad4d3?pvs=21)",ADMINISTRATIVE WORK
유동환 재적증명서 (@2026년 1월 27일),2025학년도 서울시립대학교 창업장학금,정보,스크랩,cowork,2026년 1월 27일,No,,%EC%9C%A0%EB%8F%99%ED%99%98_%EC%9E%AC%EC%A0%81%EC%A6%9D%EB%AA%85%EC%84%9C_(2026%EB%85%84_1%EC%9B%94_27%EC%9D%BC).pdf,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,25,"유동환 창업장학금 신청 증빙서류 (https://www.notion.so/5725f5025041839b807c019be4003ca1?pvs=21), 2025학년도 서울시립대학교 학생창업기업 신청서 및 제반서류 (https://www.notion.so/8b15f502504183179de2819c46ac8bee?pvs=21)","2023학년도 서울시립대학교 창업장학금,2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집",,,ADMINISTRATIVE WORK
유동환 창업장학금 신청서,2025학년도 서울시립대학교 창업장학금,정보,스크랩,cowork,2026년 1월 27일 → 2026년 1월 28일,No,,%EC%9C%A0%EB%8F%99%ED%99%98_%EC%B0%BD%EC%97%85%EC%9E%A5%ED%95%99%EA%B8%88_%EC%8B%A0%EC%B2%AD%EC%84%9C.pdf,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,13,,,"2023학년도 서울시립대학교 창업장학금,2025학년도 서울시립대학교 창업장학금","유동환 창업장학금 신청 증빙서류 (https://www.notion.so/5725f5025041839b807c019be4003ca1?pvs=21), 유동환 창업장학금 신청서 초안 (https://www.notion.so/b5f5f50250418373a9b881aaba404d2e?pvs=21)",ADMINISTRATIVE WORK
유동환 창업장학금 신청서 초안,2025학년도 서울시립대학교 창업장학금,정보,문서,cowork,2026년 1월 27일,No,,%EC%9C%A0%EB%8F%99%ED%99%98_%EC%B0%BD%EC%97%85%EC%9E%A5%ED%95%99%EA%B8%88_%EC%8B%A0%EC%B2%AD%EC%84%9C.hwp,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,12,유동환 창업장학금 신청서 (https://www.notion.so/6eb5f502504182c1aac0017c29f7e7b5?pvs=21),2025학년도 서울시립대학교 창업장학금,2025학년도 서울시립대학교 창업장학금,붙임1. 창업장학금 신청서 (https://www.notion.so/3835f502504183968d0801cbed856ce9?pvs=21),ADMINISTRATIVE WORK
1. 학생창업기업 신청서_ 활동지원금 신청서_ 개인정보활용동의서,2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,정보,문서,cowork,2025년 12월 16일,No,https://www.uos.ac.kr/korColumn/view.do?list_id=FA35&seq=894&sort=8&pageIndex=1&searchCnd=&searchWrd=&viewAuth=Y&lpageCount=10&menuid=2000005009005000000,1._%ED%95%99%EC%83%9D%EC%B0%BD%EC%97%85%EA%B8%B0%EC%97%85_%EC%8B%A0%EC%B2%AD%EC%84%9C__%ED%99%9C%EB%8F%99%EC%A7%80%EC%9B%90%EA%B8%88_%EC%8B%A0%EC%B2%AD%EC%84%9C__%EA%B0%9C%EC%9D%B8%EC%A0%95%EB%B3%B4%ED%99%9C%EC%9A%A9%EB%8F%99%EC%9D%98%EC%84%9C.hwp,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,24,"2025학년도 서울시립대학교 학생창업기업 신청서 및 제반서류 (https://www.notion.so/8b15f502504183179de2819c46ac8bee?pvs=21), 2025학년도 서울시립대학교 학생창업기업 지원금 신청서 (https://www.notion.so/b3d5f502504183c38f1401fe064f6389?pvs=21)","2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집",2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,[지원] 25학년도 학생창업기업발굴 및 지원금 신청 안내 (기한연장 : ~26.01.04.) (https://www.notion.so/90a5f502504183b0ad42010618f19c6c?pvs=21),ADMINISTRATIVE WORK
유동환 휴학증명서 (@2026년 1월 27일),2025학년도 서울시립대학교 창업장학금,정보,스크랩,cowork,2026년 1월 27일,No,,%EC%9C%A0%EB%8F%99%ED%99%98_%ED%9C%B4%ED%95%99%EC%A6%9D%EB%AA%85%EC%84%9C_(2026%EB%85%84_1%EC%9B%94_27%EC%9D%BC).pdf,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,23,"유동환 창업장학금 신청 증빙서류 (https://www.notion.so/5725f5025041839b807c019be4003ca1?pvs=21), 2025학년도 서울시립대학교 학생창업기업 신청서 및 제반서류 (https://www.notion.so/8b15f502504183179de2819c46ac8bee?pvs=21)","2023학년도 서울시립대학교 창업장학금,2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집",,,ADMINISTRATIVE WORK
